date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:59	3831/3831	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2013:31:00%20GMT	https://valuablecointoken.vercel.app/	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/index.html	(from )
01:30:59	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2024%20May%202022%2013:31:00%20GMT	https://valuablecointoken.vercel.app/robots.txt		(from )
01:30:59	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2024%20May%202022%2013:31:00%20GMT	https://valuablecointoken.vercel.app/favicon.ico	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/favicon.ico	(from https://valuablecointoken.vercel.app/)
01:31:00	44445/44445	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2013:31:00%20GMT	https://valuablecointoken.vercel.app/apple-touch-icon.png	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/apple-touch-icon.png	(from https://valuablecointoken.vercel.app/)
01:31:00	2808/2808	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2013:31:01%20GMT	https://valuablecointoken.vercel.app/favicon-32x32.png	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/favicon-32x32.png	(from https://valuablecointoken.vercel.app/)
01:31:00	974/974	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2013:31:01%20GMT	https://valuablecointoken.vercel.app/favicon-16x16.png	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/favicon-16x16.png	(from https://valuablecointoken.vercel.app/)
01:31:00	484/484	---M--	200	added ('OK')	application/json	date:Tue,%2024%20May%202022%2013:31:01%20GMT	https://valuablecointoken.vercel.app/manifest.json	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/manifest.json	(from https://valuablecointoken.vercel.app/)
01:31:00	34239/34239	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20May%202022%2013:31:01%20GMT	https://valuablecointoken.vercel.app/assets/css/scss/style.css	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/css/scss/style.css	(from https://valuablecointoken.vercel.app/)
01:31:01	933/933	---M--	200	added ('OK')	text/css	date:Tue,%2024%20May%202022%2013:31:01%20GMT	https://valuablecointoken.vercel.app/assets/fonts/stylesheet.css	C:/Users/Home/Desktop/value/value/valuablecointoken.vercel.app/assets/fonts/stylesheet.css	(from https://valuablecointoken.vercel.app/)
01:31:01	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/Home/Desktop/value/value/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://valuablecointoken.vercel.app/)
